actor_id,first_name,last_name,last_update
1.0,Penelope,Guiness,2006-02-15 04:34:33
2.0,Nick,Wahlberg,2006-02-15 04:34:33
3.0,Ed,Chase,2006-02-15 04:34:33
4.0,Jennifer,Davis,2006-02-15 04:34:33
5.0,Johnny,Lollobrigida,2006-02-15 04:34:33
6.0,Bette,Nicholson,2006-02-15 04:34:33
7.0,Grace,Mostel,2006-02-15 04:34:33
8.0,Matthew,Johansson,2006-02-15 04:34:33
9.0,Joe,Swank,2006-02-15 04:34:33
10.0,Christian,Gable,2006-02-15 04:34:33
11.0,Zero,Cage,2006-02-15 04:34:33
12.0,Karl,Berry,2006-02-15 04:34:33
13.0,Uma,Wood,2006-02-15 04:34:33
14.0,Vivien,Bergen,2006-02-15 04:34:33
15.0,Cuba,Olivier,2006-02-15 04:34:33
16.0,Fred,Costner,2006-02-15 04:34:33
17.0,Helen,Voight,2006-02-15 04:34:33
18.0,Dan,Torn,2006-02-15 04:34:33
19.0,Bob,Fawcett,2006-02-15 04:34:33
20.0,Lucille,Tracy,2006-02-15 04:34:33
21.0,Kirsten,Paltrow,2006-02-15 04:34:33
22.0,Elvis,Marx,2006-02-15 04:34:33
23.0,Sandra,Kilmer,2006-02-15 04:34:33
24.0,Cameron,Streep,2006-02-15 04:34:33
25.0,Kevin,Bloom,2006-02-15 04:34:33
26.0,Rip,Crawford,2006-02-15 04:34:33
27.0,Julia,Mcqueen,2006-02-15 04:34:33
28.0,Woody,Hoffman,2006-02-15 04:34:33
29.0,Alec,Wayne,2006-02-15 04:34:33
30.0,Sandra,Peck,2006-02-15 04:34:33
31.0,Sissy,Sobieski,2006-02-15 04:34:33
32.0,Tim,Hackman,2006-02-15 04:34:33
33.0,Milla,Peck,2006-02-15 04:34:33
34.0,Audrey,Olivier,2006-02-15 04:34:33
35.0,Judy,Dean,2006-02-15 04:34:33
36.0,Burt,Dukakis,2006-02-15 04:34:33
37.0,Val,Bolger,2006-02-15 04:34:33
38.0,Tom,Mckellen,2006-02-15 04:34:33
39.0,Goldie,Brody,2006-02-15 04:34:33
40.0,Johnny,Cage,2006-02-15 04:34:33
41.0,Jodie,Degeneres,2006-02-15 04:34:33
42.0,Tom,Miranda,2006-02-15 04:34:33
43.0,Kirk,Jovovich,2006-02-15 04:34:33
44.0,Nick,Stallone,2006-02-15 04:34:33
45.0,Reese,Kilmer,2006-02-15 04:34:33
46.0,Parker,Goldberg,2006-02-15 04:34:33
47.0,Julia,Barrymore,2006-02-15 04:34:33
48.0,Frances,Day-lewis,2006-02-15 04:34:33
49.0,Anne,Cronyn,2006-02-15 04:34:33
50.0,Natalie,Hopkins,2006-02-15 04:34:33
51.0,Gary,Phoenix,2006-02-15 04:34:33
52.0,Carmen,Hunt,2006-02-15 04:34:33
53.0,Mena,Temple,2006-02-15 04:34:33
54.0,Penelope,Pinkett,2006-02-15 04:34:33
55.0,Fay,Kilmer,2006-02-15 04:34:33
56.0,Dan,Harris,2006-02-15 04:34:33
57.0,Jude,Cruise,2006-02-15 04:34:33
58.0,Christian,Akroyd,2006-02-15 04:34:33
59.0,Dustin,Tautou,2006-02-15 04:34:33
60.0,Henry,Berry,2006-02-15 04:34:33
61.0,Christian,Neeson,2006-02-15 04:34:33
62.0,Jayne,Neeson,2006-02-15 04:34:33
63.0,Cameron,Wray,2006-02-15 04:34:33
64.0,Ray,Johansson,2006-02-15 04:34:33
65.0,Angela,Hudson,2006-02-15 04:34:33
66.0,Mary,Tandy,2006-02-15 04:34:33
67.0,Jessica,Bailey,2006-02-15 04:34:33
68.0,Rip,Winslet,2006-02-15 04:34:33
69.0,Kenneth,Paltrow,2006-02-15 04:34:33
70.0,Michelle,Mcconaughey,2006-02-15 04:34:33
71.0,Adam,Grant,2006-02-15 04:34:33
72.0,Sean,Williams,2006-02-15 04:34:33
73.0,Gary,Penn,2006-02-15 04:34:33
74.0,Milla,Keitel,2006-02-15 04:34:33
75.0,Burt,Posey,2006-02-15 04:34:33
76.0,Angelina,Astaire,2006-02-15 04:34:33
77.0,Cary,Mcconaughey,2006-02-15 04:34:33
78.0,Groucho,Sinatra,2006-02-15 04:34:33
79.0,Mae,Hoffman,2006-02-15 04:34:33
80.0,Ralph,Cruz,2006-02-15 04:34:33
81.0,Scarlett,Damon,2006-02-15 04:34:33
82.0,Woody,Jolie,2006-02-15 04:34:33
83.0,Ben,Willis,2006-02-15 04:34:33
84.0,James,Pitt,2006-02-15 04:34:33
85.0,Minnie,Zellweger,2006-02-15 04:34:33
86.0,Greg,Chaplin,2006-02-15 04:34:33
87.0,Spencer,Peck,2006-02-15 04:34:33
88.0,Kenneth,Pesci,2006-02-15 04:34:33
89.0,Charlize,Dench,2006-02-15 04:34:33
90.0,Sean,Guiness,2006-02-15 04:34:33
91.0,Christopher,Berry,2006-02-15 04:34:33
92.0,Kirsten,Akroyd,2006-02-15 04:34:33
93.0,Ellen,Presley,2006-02-15 04:34:33
94.0,Kenneth,Torn,2006-02-15 04:34:33
95.0,Daryl,Wahlberg,2006-02-15 04:34:33
96.0,Gene,Willis,2006-02-15 04:34:33
97.0,Meg,Hawke,2006-02-15 04:34:33
98.0,Chris,Bridges,2006-02-15 04:34:33
99.0,Jim,Mostel,2006-02-15 04:34:33
100.0,Spencer,Depp,2006-02-15 04:34:33
101.0,Susan,Davis,2006-02-15 04:34:33
102.0,Walter,Torn,2006-02-15 04:34:33
103.0,Matthew,Leigh,2006-02-15 04:34:33
104.0,Penelope,Cronyn,2006-02-15 04:34:33
105.0,Sidney,Crowe,2006-02-15 04:34:33
106.0,Groucho,Dunst,2006-02-15 04:34:33
107.0,Gina,Degeneres,2006-02-15 04:34:33
108.0,Warren,Nolte,2006-02-15 04:34:33
109.0,Sylvester,Dern,2006-02-15 04:34:33
110.0,Susan,Davis,2006-02-15 04:34:33
111.0,Cameron,Zellweger,2006-02-15 04:34:33
112.0,Russell,Bacall,2006-02-15 04:34:33
113.0,Morgan,Hopkins,2006-02-15 04:34:33
114.0,Morgan,Mcdormand,2006-02-15 04:34:33
115.0,Harrison,Bale,2006-02-15 04:34:33
116.0,Dan,Streep,2006-02-15 04:34:33
117.0,Renee,Tracy,2006-02-15 04:34:33
118.0,Cuba,Allen,2006-02-15 04:34:33
119.0,Warren,Jackman,2006-02-15 04:34:33
120.0,Penelope,Monroe,2006-02-15 04:34:33
121.0,Liza,Bergman,2006-02-15 04:34:33
122.0,Salma,Nolte,2006-02-15 04:34:33
123.0,Julianne,Dench,2006-02-15 04:34:33
124.0,Scarlett,Bening,2006-02-15 04:34:33
125.0,Albert,Nolte,2006-02-15 04:34:33
126.0,Frances,Tomei,2006-02-15 04:34:33
127.0,Kevin,Garland,2006-02-15 04:34:33
128.0,Cate,Mcqueen,2006-02-15 04:34:33
129.0,Daryl,Crawford,2006-02-15 04:34:33
130.0,Greta,Keitel,2006-02-15 04:34:33
131.0,Jane,Jackman,2006-02-15 04:34:33
132.0,Adam,Hopper,2006-02-15 04:34:33
133.0,Richard,Penn,2006-02-15 04:34:33
134.0,Gene,Hopkins,2006-02-15 04:34:33
135.0,Rita,Reynolds,2006-02-15 04:34:33
136.0,Ed,Mansfield,2006-02-15 04:34:33
137.0,Morgan,Williams,2006-02-15 04:34:33
138.0,Lucille,Dee,2006-02-15 04:34:33
139.0,Ewan,Gooding,2006-02-15 04:34:33
140.0,Whoopi,Hurt,2006-02-15 04:34:33
141.0,Cate,Harris,2006-02-15 04:34:33
142.0,Jada,Ryder,2006-02-15 04:34:33
143.0,River,Dean,2006-02-15 04:34:33
144.0,Angela,Witherspoon,2006-02-15 04:34:33
145.0,Kim,Allen,2006-02-15 04:34:33
146.0,Albert,Johansson,2006-02-15 04:34:33
147.0,Fay,Winslet,2006-02-15 04:34:33
148.0,Emily,Dee,2006-02-15 04:34:33
149.0,Russell,Temple,2006-02-15 04:34:33
150.0,Jayne,Nolte,2006-02-15 04:34:33
151.0,Geoffrey,Heston,2006-02-15 04:34:33
152.0,Ben,Harris,2006-02-15 04:34:33
153.0,Minnie,Kilmer,2006-02-15 04:34:33
154.0,Meryl,Gibson,2006-02-15 04:34:33
155.0,Ian,Tandy,2006-02-15 04:34:33
156.0,Fay,Wood,2006-02-15 04:34:33
157.0,Greta,Malden,2006-02-15 04:34:33
158.0,Vivien,Basinger,2006-02-15 04:34:33
159.0,Laura,Brody,2006-02-15 04:34:33
160.0,Chris,Depp,2006-02-15 04:34:33
161.0,Harvey,Hope,2006-02-15 04:34:33
162.0,Oprah,Kilmer,2006-02-15 04:34:33
163.0,Christopher,West,2006-02-15 04:34:33
164.0,Humphrey,Willis,2006-02-15 04:34:33
165.0,Al,Garland,2006-02-15 04:34:33
166.0,Nick,Degeneres,2006-02-15 04:34:33
167.0,Laurence,Bullock,2006-02-15 04:34:33
168.0,Will,Wilson,2006-02-15 04:34:33
169.0,Kenneth,Hoffman,2006-02-15 04:34:33
170.0,Mena,Hopper,2006-02-15 04:34:33
171.0,Olympia,Pfeiffer,2006-02-15 04:34:33
172.0,Groucho,Williams,2006-02-15 04:34:33
173.0,Alan,Dreyfuss,2006-02-15 04:34:33
174.0,Michael,Bening,2006-02-15 04:34:33
175.0,William,Hackman,2006-02-15 04:34:33
176.0,Jon,Chase,2006-02-15 04:34:33
177.0,Gene,Mckellen,2006-02-15 04:34:33
178.0,Lisa,Monroe,2006-02-15 04:34:33
179.0,Ed,Guiness,2006-02-15 04:34:33
180.0,Jeff,Silverstone,2006-02-15 04:34:33
181.0,Matthew,Carrey,2006-02-15 04:34:33
182.0,Debbie,Akroyd,2006-02-15 04:34:33
183.0,Russell,Close,2006-02-15 04:34:33
184.0,Humphrey,Garland,2006-02-15 04:34:33
185.0,Michael,Bolger,2006-02-15 04:34:33
186.0,Julia,Zellweger,2006-02-15 04:34:33
187.0,Renee,Ball,2006-02-15 04:34:33
